epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3583,1.91138,5.2966,1.50431,0,0,0,0,1.69244,5.13394,1.55747,1.5e-05,1.5e-05,1.5e-05
2,25.1365,1.86923,5.08751,1.45639,0,0,0,0,1.4721,5.01369,1.38775,3.46535e-05,3.46535e-05,3.46535e-05
3,37.1434,1.59162,4.71096,1.29837,0,0,0,0,0.98532,4.86965,1.0937,5.3911e-05,5.3911e-05,5.3911e-05
4,49.3426,1.32217,4.58856,1.10959,1,0.90909,0.9545,0.76008,0.74133,4.51564,0.99293,7.27725e-05,7.27725e-05,7.27725e-05
5,61.3469,1.36397,3.5318,1.0928,0.78571,1,0.995,0.77966,0.79123,4.38005,0.97216,9.1238e-05,9.1238e-05,9.1238e-05
6,73.4356,1.28381,2.84714,0.99854,0.47826,1,0.995,0.79317,0.89657,4.14875,1.05028,0.000109308,0.000109308,0.000109308
7,85.1063,1.09576,2.19719,0.97674,0.31429,1,0.995,0.71584,1.01316,3.93006,1.09536,0.000126981,0.000126981,0.000126981
8,96.7805,1.12156,1.81205,1.09712,0.2973,1,0.995,0.68661,1.08093,3.78727,1.13526,0.000144259,0.000144259,0.000144259
9,108.618,1.19248,1.78333,1.12558,0.35484,1,0.995,0.69252,1.08402,3.75047,1.11931,0.00016114,0.00016114,0.00016114
10,121.105,1.17203,1.8766,1.13384,0.40741,1,0.93962,0.66181,1.01727,3.89066,1.06219,0.000177626,0.000177626,0.000177626
11,133.249,1.05355,1.74357,1.01058,0.37931,1,0.93962,0.68006,0.93575,3.98709,1.02399,0.000193715,0.000193715,0.000193715
12,144.955,1.09287,2.08824,1.02052,0.45833,1,0.995,0.74054,0.97764,3.95262,1.0224,0.000209408,0.000209408,0.000209408
13,156.903,1.1335,1.62972,1.0434,0.47826,1,0.995,0.73977,1.03726,3.84682,1.01876,0.000224706,0.000224706,0.000224706
14,168.834,1.02473,1.49102,0.9854,0.52381,1,0.995,0.75233,1.02769,3.76526,1.0252,0.000239607,0.000239607,0.000239607
15,180.675,1.04787,1.42511,0.96678,0.44,1,0.995,0.76048,0.97961,3.63076,1.03457,0.000254113,0.000254113,0.000254113
16,192.326,0.91446,1.64493,0.95288,0.44,1,0.995,0.76673,0.94959,3.65135,1.04324,0.000268223,0.000268223,0.000268223
17,203.87,0.99271,1.38503,1.04335,0.275,1,0.995,0.74648,0.96109,3.62973,1.05434,0.000281936,0.000281936,0.000281936
18,215.784,0.99692,1.31162,0.97317,0.94322,1,0.995,0.70211,1.02233,3.43325,1.07617,0.000295253,0.000295253,0.000295253
19,227.792,1.10679,1.3751,1.00981,1,0.72656,0.995,0.67637,1.0738,3.34343,1.09697,0.000308175,0.000308175,0.000308175
20,239.751,0.98034,1.33946,1.00106,1,0.57787,0.995,0.68896,1.10156,3.26473,1.12441,0.000320701,0.000320701,0.000320701
21,251.523,0.89226,1.26541,0.97483,1,0.40953,0.995,0.6847,1.02926,3.22766,1.10428,0.00033283,0.00033283,0.00033283
22,263.306,0.95756,1.30438,0.97411,1,0.64182,0.995,0.73557,1.00104,3.16432,1.10451,0.000344564,0.000344564,0.000344564
23,275.289,0.92446,1.27146,0.98036,1,0.72769,0.995,0.7484,0.97565,3.11003,1.09743,0.000355901,0.000355901,0.000355901
24,287.215,0.87139,1.18707,0.95038,1,0.87046,0.995,0.74502,0.98244,2.97015,1.11742,0.000366843,0.000366843,0.000366843
25,299.774,0.99673,1.36053,1.0059,1,0.95322,0.995,0.73616,0.99583,2.80858,1.12138,0.000377388,0.000377388,0.000377388
26,312.1,0.95163,1.3404,1.02075,1,0.98504,0.995,0.73947,1.00025,2.62937,1.12409,0.00037625,0.00037625,0.00037625
27,323.974,1.07853,1.32229,1.09933,0.96135,1,0.995,0.72581,1.01524,2.56745,1.13081,0.0003713,0.0003713,0.0003713
28,335.559,0.93367,1.2657,0.98739,0.96913,1,0.995,0.73989,1.02754,2.4601,1.15794,0.00036635,0.00036635,0.00036635
29,347.175,0.90471,1.31694,1.08564,0.99942,1,0.995,0.73259,1.026,2.30214,1.15987,0.0003614,0.0003614,0.0003614
30,359.206,0.913,1.13034,0.98633,0.99814,1,0.995,0.7312,1.02244,2.11786,1.15075,0.00035645,0.00035645,0.00035645
31,371.218,0.95955,1.22483,1.03495,0.99181,1,0.995,0.7543,0.98073,1.977,1.1362,0.0003515,0.0003515,0.0003515
32,382.761,0.8036,1.29014,0.92796,0.98589,1,0.995,0.76268,0.9662,2.02323,1.12458,0.00034655,0.00034655,0.00034655
33,394.363,0.94451,1.26353,1.05862,0.98498,1,0.995,0.7494,0.96303,2.08132,1.14656,0.0003416,0.0003416,0.0003416
34,405.881,0.86911,1.42207,0.996,0.98955,1,0.995,0.74012,1.02209,2.0363,1.19307,0.00033665,0.00033665,0.00033665
35,417.655,0.78377,1.18118,0.92384,0.99027,1,0.995,0.72657,1.055,1.8483,1.2134,0.0003317,0.0003317,0.0003317
36,429.583,0.82371,1.11086,0.93442,0.99313,1,0.995,0.73694,1.03876,1.65712,1.17708,0.00032675,0.00032675,0.00032675
37,441.499,0.92542,1.18769,0.97127,0.99369,1,0.995,0.73109,1.01965,1.52382,1.16972,0.0003218,0.0003218,0.0003218
38,453.424,0.82287,1.09182,0.98742,0.99478,1,0.995,0.7252,0.97845,1.44028,1.16456,0.00031685,0.00031685,0.00031685
39,465.1,0.81771,1.0359,0.93779,0.9956,1,0.995,0.73027,0.97098,1.43436,1.16098,0.0003119,0.0003119,0.0003119
40,476.867,0.99284,1.29335,1.19428,0.99748,1,0.995,0.71841,0.98366,1.43874,1.16578,0.00030695,0.00030695,0.00030695
41,488.793,0.87448,1.07085,1.00895,1,0.99612,0.995,0.70297,0.99506,1.47105,1.17262,0.000302,0.000302,0.000302
42,500.702,0.76003,1.12154,0.9524,1,0.99989,0.995,0.71568,0.9858,1.52198,1.1744,0.00029705,0.00029705,0.00029705
43,512.566,0.79571,1.06045,0.9845,0.99239,1,0.995,0.72078,0.98603,1.51134,1.16346,0.0002921,0.0002921,0.0002921
44,524.34,0.79073,1.18066,1.00919,0.99238,1,0.995,0.72118,0.99111,1.43599,1.16538,0.00028715,0.00028715,0.00028715
45,536.487,0.78263,1.0854,0.95917,0.99376,1,0.995,0.7099,1.01459,1.36417,1.18412,0.0002822,0.0002822,0.0002822
46,548.475,0.79305,1.08623,0.98344,0.99322,1,0.995,0.70625,1.05834,1.29332,1.20224,0.00027725,0.00027725,0.00027725
47,560.067,0.76657,1.0176,0.96102,0.99316,1,0.995,0.71439,1.05518,1.27726,1.19702,0.0002723,0.0002723,0.0002723
48,571.94,0.69821,0.9356,0.91715,0.99373,1,0.995,0.71668,1.02684,1.26676,1.18519,0.00026735,0.00026735,0.00026735
49,583.801,0.77873,0.98754,0.96398,0.99408,1,0.995,0.71577,0.99933,1.26947,1.1734,0.0002624,0.0002624,0.0002624
50,595.47,0.66684,0.95326,0.92785,0.99344,1,0.995,0.74992,0.9599,1.26473,1.14341,0.00025745,0.00025745,0.00025745
51,607.767,0.86821,1.10159,1.02699,0.99123,1,0.995,0.71381,0.97613,1.28312,1.13222,0.0002525,0.0002525,0.0002525
52,620.321,0.81214,1.03221,0.94811,0.99188,1,0.995,0.69428,1.02894,1.30094,1.15356,0.00024755,0.00024755,0.00024755
53,633.05,0.73518,1.0335,0.94236,0.99236,1,0.995,0.68929,1.07326,1.30406,1.17459,0.0002426,0.0002426,0.0002426
54,645.843,0.88236,1.28447,1.16954,0.99342,1,0.995,0.69425,1.04963,1.29736,1.16559,0.00023765,0.00023765,0.00023765
55,658.457,0.7161,0.95242,0.91601,0.99393,1,0.995,0.71804,0.9966,1.22734,1.13382,0.0002327,0.0002327,0.0002327
56,670.961,0.72317,0.98934,0.98707,0.99465,1,0.995,0.72383,0.94719,1.1438,1.11136,0.00022775,0.00022775,0.00022775
57,683.302,0.77987,0.96201,0.96293,0.99464,1,0.995,0.72476,0.91488,1.12558,1.1073,0.0002228,0.0002228,0.0002228
58,696.173,0.73411,0.94679,0.91722,0.99466,1,0.995,0.71759,0.92081,1.14147,1.12114,0.00021785,0.00021785,0.00021785
59,708.265,0.82526,1.11907,1.01744,0.9946,1,0.995,0.72582,0.94139,1.14589,1.13445,0.0002129,0.0002129,0.0002129
60,719.923,0.74493,1.15588,1.02291,0.99487,1,0.995,0.73642,0.95374,1.12878,1.12832,0.00020795,0.00020795,0.00020795
61,732.28,0.64676,0.934,0.92203,0.99494,1,0.995,0.7337,0.95887,1.11642,1.11179,0.000203,0.000203,0.000203
62,743.997,0.6515,0.91512,0.90565,0.99512,1,0.995,0.73801,0.97005,1.15133,1.10869,0.00019805,0.00019805,0.00019805
63,755.685,0.68661,0.99241,0.92449,0.99515,1,0.995,0.73515,0.97391,1.17726,1.11686,0.0001931,0.0001931,0.0001931
64,767.234,0.59127,0.8912,0.89319,0.99512,1,0.995,0.73514,0.97793,1.19069,1.13571,0.00018815,0.00018815,0.00018815
65,778.785,0.68354,0.98944,0.91474,0.99505,1,0.995,0.73097,0.99138,1.17927,1.15254,0.0001832,0.0001832,0.0001832
66,790.657,0.74696,0.93859,0.97256,0.99504,1,0.995,0.73678,0.9826,1.15946,1.15105,0.00017825,0.00017825,0.00017825
67,802.145,0.61883,1.18648,0.93102,0.99465,1,0.995,0.72295,0.98626,1.15872,1.15064,0.0001733,0.0001733,0.0001733
68,813.748,0.63419,0.87786,0.93937,0.99445,1,0.995,0.73123,0.99674,1.167,1.15423,0.00016835,0.00016835,0.00016835
69,825.442,0.568,0.95861,0.85888,0.99278,1,0.995,0.72635,0.98983,1.1573,1.15957,0.0001634,0.0001634,0.0001634
70,837.181,0.69308,0.91734,0.9257,0.99352,1,0.995,0.73422,0.97607,1.12447,1.16182,0.00015845,0.00015845,0.00015845
71,848.666,0.69617,0.88166,0.92813,0.99433,1,0.995,0.72969,0.97607,1.10865,1.16385,0.0001535,0.0001535,0.0001535
72,860.071,0.6982,0.89605,0.96168,0.99454,1,0.995,0.72967,0.97954,1.10238,1.16464,0.00014855,0.00014855,0.00014855
73,872.254,0.73397,0.87227,0.99137,0.99477,1,0.995,0.71847,0.98038,1.09958,1.16216,0.0001436,0.0001436,0.0001436
74,884.172,0.56673,0.77571,0.84671,0.99482,1,0.995,0.71847,0.98279,1.09137,1.161,0.00013865,0.00013865,0.00013865
75,895.685,0.6665,0.87017,0.93694,0.99505,1,0.995,0.71851,0.97399,1.08635,1.15165,0.0001337,0.0001337,0.0001337
76,907.807,0.67983,0.94347,0.95371,0.99492,1,0.995,0.73544,0.97141,1.10008,1.14161,0.00012875,0.00012875,0.00012875
77,919.584,0.63206,0.89373,0.87899,0.99502,1,0.995,0.73539,0.97223,1.1099,1.1331,0.0001238,0.0001238,0.0001238
78,931.202,0.67185,0.84715,0.95214,0.99509,1,0.995,0.73543,0.96483,1.11248,1.12403,0.00011885,0.00011885,0.00011885
79,943.255,0.66491,0.84562,0.93105,0.99508,1,0.995,0.72532,0.95459,1.10172,1.11934,0.0001139,0.0001139,0.0001139
80,956.178,0.68519,0.91506,0.99555,0.99509,1,0.995,0.73077,0.95124,1.1005,1.11795,0.00010895,0.00010895,0.00010895
81,969.167,0.65404,0.95108,0.9557,0.99494,1,0.995,0.72988,0.95507,1.11434,1.11901,0.000104,0.000104,0.000104
82,981.373,0.64138,1.0019,0.91916,0.9947,1,0.995,0.7254,0.96247,1.13407,1.11922,9.905e-05,9.905e-05,9.905e-05
83,993.511,0.62887,0.99157,0.89812,0.99464,1,0.995,0.75255,0.96475,1.15375,1.12081,9.41e-05,9.41e-05,9.41e-05
84,1005.86,0.56348,0.84677,0.88203,0.99485,1,0.995,0.7526,0.9542,1.16887,1.11386,8.915e-05,8.915e-05,8.915e-05
85,1017.86,0.61642,0.95407,0.9159,0.99489,1,0.995,0.76005,0.94112,1.16933,1.10699,8.42e-05,8.42e-05,8.42e-05
86,1030.4,0.6094,0.9233,0.94105,0.99495,1,0.995,0.73741,0.93657,1.17275,1.10916,7.925e-05,7.925e-05,7.925e-05
87,1043.26,0.5878,0.84935,0.872,0.99481,1,0.995,0.73212,0.94415,1.16382,1.11384,7.43e-05,7.43e-05,7.43e-05
88,1054.74,0.5427,0.88718,0.82916,0.99494,1,0.995,0.73208,0.95086,1.14785,1.1207,6.935e-05,6.935e-05,6.935e-05
89,1066.22,0.56553,0.90505,0.91816,0.99518,1,0.995,0.73876,0.96547,1.1322,1.13259,6.44e-05,6.44e-05,6.44e-05
90,1078.08,0.63245,0.84574,0.92841,0.99528,1,0.995,0.73876,0.97401,1.12231,1.13901,5.945e-05,5.945e-05,5.945e-05
91,1090.31,0.60436,1.07768,0.94669,0.9953,1,0.995,0.72536,0.97513,1.11529,1.13647,5.45e-05,5.45e-05,5.45e-05
92,1101.78,0.48318,1.09925,0.87147,0.99522,1,0.995,0.72974,0.9826,1.12101,1.13847,4.955e-05,4.955e-05,4.955e-05
93,1113.28,0.50234,1.0609,0.86779,0.99502,1,0.995,0.72966,0.98602,1.12888,1.14028,4.46e-05,4.46e-05,4.46e-05
94,1124.7,0.51431,1.11456,0.86067,0.99479,1,0.995,0.72959,0.98243,1.13633,1.13614,3.965e-05,3.965e-05,3.965e-05
95,1136.15,0.688,1.18457,0.91299,0.99457,1,0.995,0.72953,0.98794,1.14729,1.13811,3.47e-05,3.47e-05,3.47e-05
96,1147.81,0.46688,1.05513,0.79361,0.99442,1,0.995,0.72761,0.98806,1.15735,1.13807,2.975e-05,2.975e-05,2.975e-05
97,1159.29,0.46768,1.05464,0.8721,0.99419,1,0.995,0.72835,0.98693,1.1667,1.13743,2.48e-05,2.48e-05,2.48e-05
98,1170.84,0.53959,1.12941,0.82048,0.99416,1,0.995,0.72913,0.98928,1.17522,1.1372,1.985e-05,1.985e-05,1.985e-05
99,1182.36,0.41949,1.06105,0.84419,0.99409,1,0.995,0.72911,0.99474,1.17791,1.13957,1.49e-05,1.49e-05,1.49e-05
100,1194.92,0.48364,1.11957,0.84647,0.99396,1,0.995,0.73326,0.99941,1.17923,1.14168,9.95e-06,9.95e-06,9.95e-06
